Type,Name,lon,lat
S,Tectapan,-92.60281609,16.98172157
S,Tectapan,-92.59488223,16.98218827
S,Tectapan,-92.58858182,16.98172157
S,Tectapan,-92.57621433,16.97868803
S,Tectapan,-92.56501359,16.97635455
S,Tectapan,-92.55731308,16.97472111
S,Tectapan,-92.54471225,16.97378771
S,Tectapan,-92.53327816,16.97472111
S,Tectapan,-92.52301082,16.97332101
S,Tectapan,-92.51601036,16.97075418
S,Tectapan,-92.50690976,16.97098753
S,Tectapan,-92.49664241,16.9670206
S,Tectapan,-92.48427493,16.96235362
S,Tectapan,-92.47260749,16.96352037
S,Tectapan,-92.46024001,16.96142023
S,Tectapan,-92.45067271,16.96025348
S,Tectapan,-92.43480499,16.95862004
S,Tectapan,-92.42920462,16.95908674
S,Tectapan,-92.41707049,16.9574533
S,Tectapan,-92.40703649,16.95511981
S,Tectapan,-92.3956024,16.95441976
S,Tectapan,-92.38416832,16.95395307
S,Tectapan,-92.36900065,16.95418642
S,Tectapan,-92.36060009,16.95325302
S,Tectapan,-92.35336628,16.95348637
S,Tectapan,-92.34589912,16.95231963
S,Tectapan,-92.33796526,16.95185293
S,Tectapan,-92.32326429,16.95068618
S,Tectapan,-92.30132951,16.95045284
S,Tectapan,-92.29222891,16.95068618
S,Tectapan,-92.27822799,16.94975279
S,Tectapan,-92.26446041,16.947886
S,Tectapan,-92.25209293,16.94625256
S,Tectapan,-92.2390254,16.94601921
S,Tectapan,-92.23109154,16.94578586
S,Tectapan,-92.21009015,16.94555251
S,Tectapan,-92.20215629,16.94391907
S,Tectapan,-92.192589,16.94181893
S,Tectapan,-92.18115491,16.94065219
S,Tectapan,-92.17275435,16.9383187
S,Tuxtla-Malpas,-94.35549851,17.29884251
S,Tuxtla-Malpas,-94.31722932,17.28950856
S,Tuxtla-Malpas,-94.27989352,17.27457424
S,Tuxtla-Malpas,-94.23602396,17.26150671
S,Tuxtla-Malpas,-94.20428853,17.25030597
S,Tuxtla-Malpas,-94.16321915,17.23163807
S,Tuxtla-Malpas,-94.11468261,17.21016999
S,Tuxtla-Malpas,-94.06707947,17.18683511
S,Tuxtla-Malpas,-94.00267521,17.16256685
S,Tuxtla-Malpas,-93.94480472,17.12896463
S,Tuxtla-Malpas,-93.90093516,17.09442901
T,Tumbala,-92.65438616,17.48925509
T,Tumbala,-92.63711836,17.48365472
T,Tumbala,-92.61658367,17.48038784
T,Tumbala,-92.60211604,17.47572086
T,Tumbala,-92.58811512,17.47665426
T,Tumbala,-92.57411419,17.47338737
T,Tumbala,-92.55871318,17.46685361
T,Tumbala,-92.55264611,17.45845305
T,Tumbala,-92.54891253,17.44678562
T,Tumbala,-92.54891253,17.42905111
T,Tumbala,-92.54377886,17.42251735
T,Tumbala,-92.52977793,17.41365009
T,Tumbala,-92.51951059,17.40991651
T,Tumbala,-92.50924324,17.40338275
T,Tumbala,-92.50224278,17.40291605
T,Tumbala,-92.49104204,17.40011587
T,Tumbala,-92.48684176,17.3945155
T,Tumbala,-92.4807747,17.39031522
T,Tumbala,-92.47330754,17.38938183
T,Tumbala,-92.47050735,17.37724769
T,Tumbala,-92.46864056,17.36604695
T,Tumbala,-92.46630707,17.35904649
T,Tumbala,-92.46304019,17.35484621
T,Tumbala,-92.45510633,17.3576464
T,Tumbala,-92.44903927,17.36091328
T,Tumbala,-92.4429722,17.36278007
T,Tumbala,-92.43690513,17.36698035
T,Tumbala,-92.42897127,17.36884714
T,Tumbala,-92.42103742,17.36604695
T,Tumbala,-92.41123677,17.37024723
T,Tumbala,-92.39770254,17.37211402
T,Tumbala,-92.38603511,17.38191467
T,Tumbala,-92.37716785,17.38098127
T,Tumbala,-92.37063409,17.3758476
T,Tumbala,-92.35849995,17.37398081
T,Tumbala,-92.35196619,17.37911448
T,Tumbala,-92.34823261,17.38471485
T,Tumbala,-92.34263224,17.39124862
T,Tumbala,-92.3309648,17.39871578
T,Tumbala,-92.31463039,17.40291605
T,Tumbala,-92.29922937,17.40664963
T,Tumbala,-92.28289496,17.40338275
T,Tumbala,-92.26936073,17.40198266
T,Tumbala,-92.25909339,17.39731568
T,Tumbala,-92.24602586,17.38844843
T,Tumbala,-92.23669191,17.38144797
T,Tumbala,-92.22549117,17.37398081
T,Tumbala,-92.21242364,17.36838044
T,Tumbala,-92.19982281,17.35997988
T,Tumbala,-92.19048886,17.35437951
T,Tumbala,-92.18395509,17.35041258
T,Tumbala,-92.1739211,17.34504556
T,Tumbala,-92.16598724,17.34177868
T,Tumbala,-92.1547865,17.33571161
T,Tumbala,-92.1452192,17.33221138
T,Tumbala,-92.13681865,17.32661101
T,Tumbala,-92.13168497,17.32101064
T,Tumbala,-92.12421781,17.31284344
T,Tumbala,-92.11628396,17.30350949
T,Tumbala,-92.1088168,17.29627568
T,Tumbala,-92.10018289,17.28904186
T,Tumbala,-92.08384848,17.27690773
T,Tumbala,-92.06984756,17.26710708
T,Tumbala,-92.05911351,17.2643069
T,Tumbala,-92.04791277,17.25730644
T,Tumbala,-92.03064497,17.24983928
T,Tumbala,-92.0241112,17.24423891
T,Tortuguero1,-92.29246226,17.56906036
T,Tortuguero1,-92.27846133,17.56719357
T,Tortuguero1,-92.26352701,17.56719357
T,Tortuguero1,-92.24205893,17.56626017
T,Tortuguero1,-92.22525782,17.56439338
T,Tortuguero1,-92.2112569,17.55505943
T,Tortuguero1,-92.18698863,17.54665888
T,Tortuguero1,-92.17485449,17.53919172
T,Tortuguero1,-92.16458715,17.53079116
T,Tortuguero2,-92.17672128,17.52145722
T,Tortuguero2,-92.1543198,17.523324
T,Tortuguero2,-92.1365853,17.5242574
